film,category,value
Toy Story 4,Subgenre,Computer Animation
Toy Story 4,Subgenre,Fantasy
Toy Story 4,Subgenre,Road Trip
Toy Story 4,Subgenre,Supernatural Fantasy
Toy Story 4,Subgenre,Urban Adventure
Onward,Genre,Adventure
Onward,Genre,Animation
Onward,Genre,Comedy
Onward,Subgenre,Computer Animation
Onward,Subgenre,Fantasy Epic
Onward,Subgenre,Quest
Onward,Subgenre,Supernatural Fantasy
Onward,Subgenre,Sword & Sorcery
Soul,Genre,Adventure
Soul,Genre,Animation
Soul,Genre,Comedy
Soul,Subgenre,Computer Animation
Soul,Subgenre,Fantasy
Soul,Subgenre,Music
Luca,Genre,Adventure
Luca,Genre,Animation
Luca,Genre,Comedy
Luca,Subgenre,Coming-of-Age
Luca,Subgenre,Computer Animation
Luca,Subgenre,Fairy Tale
Luca,Subgenre,Fantasy
Luca,Subgenre,Sea Adventure
Turning Red,Genre,Adventure
Turning Red,Genre,Animation
Turning Red,Genre,Comedy
Turning Red,Subgenre,Coming-of-Age
Turning Red,Subgenre,Computer Animation
Turning Red,Subgenre,Fantasy
Turning Red,Subgenre,Music
Turning Red,Subgenre,Teen Comedy
Lightyear,Genre,Action
Lightyear,Genre,Adventure
Lightyear,Genre,Animation
Lightyear,Subgenre,Computer Animation
Lightyear,Subgenre,Sci-Fi
Lightyear,Subgenre,Space Sci-Fi
Lightyear,Subgenre,Superhero
Lightyear,Subgenre,Time Travel
Elemental,Genre,Adventure
Elemental,Genre,Animation
Elemental,Genre,Comedy
Elemental,Subgenre,Computer Animation
Elemental,Subgenre,Fantasy
Elemental,Subgenre,Romance
Elemental,Subgenre,Urban Adventure
Inside Out 2,Genre,Adventure
Inside Out 2,Genre,Animation
Inside Out 2,Genre,Comedy
Inside Out 2,Subgenre,Coming-of-Age
Inside Out 2,Subgenre,Computer Animation
Inside Out 2,Subgenre,Quest
Inside Out 2,Subgenre,Teen Comedy
Inside Out 2,Subgenre,Teen Drama
