film,source,ranking
Toy Story 2,Polygon,10
Toy Story,Polygon,9
Finding Nemo,Polygon,8
Coco,Polygon,7
Turning Red,Polygon,6
WALL-E,Polygon,5
Ratatouille,Polygon,4
"Monsters, Inc.",Polygon,3
Inside Out,Polygon,2
The Incredibles,Polygon,1
Toy Story 4,Buzzfeed,24
The Good Dinosaur,Buzzfeed,23
Cars 2,Buzzfeed,22
Monsters University,Buzzfeed,21
Cars 3,Buzzfeed,20
Finding Dory,Buzzfeed,19
Cars,Buzzfeed,18
Up,Buzzfeed,17
WALL-E,Buzzfeed,16
Toy Story 2,Buzzfeed,15
Luca,Buzzfeed,14
Toy Story 3,Buzzfeed,13
Onward,Buzzfeed,12
Brave,Buzzfeed,11
Finding Nemo,Buzzfeed,10
Incredibles 2,Buzzfeed,9
Inside Out,Buzzfeed,8
Ratatouille,Buzzfeed,7
Coco,Buzzfeed,6
A Bug's Life,Buzzfeed,5
Toy Story,Buzzfeed,4
The Incredibles,Buzzfeed,3
"Monsters, Inc.",Buzzfeed,2
Soul,Buzzfeed,1
Cars 2,CNET,29
The Good Dinosaur,CNET,28
Cars 3,CNET,27
Finding Dory,CNET,26
Lightyear,CNET,25
Luca,CNET,24
Inside Out 2,CNET,23
Elemental,CNET,22
Monsters University,CNET,21
Incredibles 2,CNET,20
Toy Story 4,CNET,19
Cars,CNET,18
A Bug's Life,CNET,17
WALL-E,CNET,16
Brave,CNET,15
Onward,CNET,14
Turning Red,CNET,13
Elio,CNET,12
Ratatouille,CNET,11
Soul,CNET,10
The Incredibles,CNET,9
"Monsters, Inc.",CNET,8
Coco,CNET,7
Toy Story 2,CNET,6
Finding Nemo,CNET,5
Inside Out,CNET,4
Toy Story 3,CNET,3
Up,CNET,2
Toy Story,CNET,1
Cars 2,BusinessInsider,27
A Bug's Life,BusinessInsider,26
Cars 3,BusinessInsider,25
The Good Dinosaur,BusinessInsider,24
Brave,BusinessInsider,23
Cars,BusinessInsider,22
Onward,BusinessInsider,21
Lightyear,BusinessInsider,20
Monsters University,BusinessInsider,19
Soul,BusinessInsider,18
Turning Red,BusinessInsider,17
Elemental,BusinessInsider,16
Coco,BusinessInsider,15
Luca,BusinessInsider,14
"Monsters, Inc.",BusinessInsider,13
Incredibles 2,BusinessInsider,12
Finding Dory,BusinessInsider,11
Inside Out,BusinessInsider,10
Toy Story 2,BusinessInsider,9
Up,BusinessInsider,8
Toy Story 4,BusinessInsider,7
Toy Story 3,BusinessInsider,6
The Incredibles,BusinessInsider,5
Ratatouille,BusinessInsider,4
Finding Nemo,BusinessInsider,3
Toy Story,BusinessInsider,2
WALL-E,BusinessInsider,1
Cars 2,AV Club,28
The Good Dinosaur,AV Club,27
Cars 3,AV Club,26
Lightyear,AV Club,25
Elemental,AV Club,24
Onward,AV Club,23
Toy Story 4,AV Club,22
Finding Dory,AV Club,21
Monsters University,AV Club,20
Luca,AV Club,19
Inside Out 2,AV Club,18
Incredibles 2,AV Club,17
Brave,AV Club,16
Turning Red,AV Club,15
Soul,AV Club,14
Cars,AV Club,13
A Bug's Life,AV Club,12
Ratatouille,AV Club,11
Coco,AV Club,10
"Monsters, Inc.",AV Club,9
Finding Nemo,AV Club,8
Inside Out,AV Club,7
Toy Story 3,AV Club,6
The Incredibles,AV Club,5
Up,AV Club,4
Toy Story 2,AV Club,3
WALL-E,AV Club,2
Toy Story,AV Club,1
Cars 3,Vulture,31
Lightyear,Vulture,30
Cars 2,Vulture,29
Elemental,Vulture,28
Brave,Vulture,27
Monsters University,Vulture,26
The Good Dinosaur,Vulture,25
A Bug's Life,Vulture,24
Onward,Vulture,23
Elio,Vulture,22
Cars,Vulture,21
Soul,Vulture,20
Hoppers,Vulture,19
Coco,Vulture,18
Incredibles 2,Vulture,17
Luca,Vulture,16
"Monsters, Inc.",Vulture,15
Inside Out 2,Vulture,14
Toy Story 5,Vulture,13
Turning Red,Vulture,12
Finding Dory,Vulture,11
Up,Vulture,10
Ratatouille,Vulture,9
Toy Story 4,Vulture,8
Inside Out,Vulture,7
Toy Story 3,Vulture,6
The Incredibles,Vulture,5
Toy Story 2,Vulture,4
Finding Nemo,Vulture,3
Toy Story,Vulture,2
WALL-E,Vulture,1
Cars 2,Independent,23
Brave,Independent,22
The Good Dinosaur,Independent,21
Cars 3,Independent,20
Toy Story 4,Independent,19
Incredibles 2,Independent,18
A Bug's Life,Independent,17
Monsters University,Independent,16
Cars,Independent,15
Finding Dory,Independent,14
Up,Independent,13
WALL-E,Independent,12
Onward,Independent,11
The Incredibles,Independent,10
Finding Nemo,Independent,9
Inside Out,Independent,8
Coco,Independent,7
Toy Story 3,Independent,6
Soul,Independent,5
"Monsters, Inc.",Independent,4
Toy Story,Independent,3
Ratatouille,Independent,2
Toy Story 2,Independent,1
Cars 2,MensHealth,26
Cars 3,MensHealth,25
The Good Dinosaur,MensHealth,24
Lightyear,MensHealth,23
Monsters University,MensHealth,22
Finding Dory,MensHealth,21
Incredibles 2,MensHealth,20
Onward,MensHealth,19
Luca,MensHealth,18
Toy Story 4,MensHealth,17
Toy Story 2,MensHealth,16
Brave,MensHealth,15
Cars,MensHealth,14
A Bug's Life,MensHealth,13
Turning Red,MensHealth,12
"Monsters, Inc.",MensHealth,11
WALL-E,MensHealth,10
Ratatouille,MensHealth,9
Finding Nemo,MensHealth,8
The Incredibles,MensHealth,7
Toy Story,MensHealth,6
Coco,MensHealth,5
Inside Out,MensHealth,4
Up,MensHealth,3
Soul,MensHealth,2
Toy Story 3,MensHealth,1
Lightyear,Time,31
Cars 2,Time,30
The Good Dinosaur,Time,29
Onward,Time,28
Elemental,Time,27
Toy Story 5,Time,26
Soul,Time,25
A Bug's Life,Time,24
Finding Dory,Time,23
Inside Out 2,Time,22
Luca,Time,21
Incredibles 2,Time,20
Cars 3,Time,19
Elio,Time,18
Brave,Time,17
Up,Time,16
Toy Story 4,Time,15
Monsters University,Time,14
Coco,Time,13
Finding Nemo,Time,12
Cars,Time,11
Turning Red,Time,10
Hoppers,Time,9
Inside Out,Time,8
The Incredibles,Time,7
Toy Story,Time,6
Toy Story 3,Time,5
"Monsters, Inc.",Time,4
Ratatouille,Time,3
Toy Story 2,Time,2
WALL-E,Time,1
Monsters University,Esquire,31
The Good Dinosaur,Esquire,30
Cars 2,Esquire,29
Elemental,Esquire,28
Finding Dory,Esquire,27
Cars 3,Esquire,26
Elio,Esquire,25
Soul,Esquire,24
Lightyear,Esquire,23
Inside Out 2,Esquire,22
Hoppers,Esquire,21
Incredibles 2,Esquire,20
Turning Red,Esquire,19
Brave,Esquire,18
Onward,Esquire,17
Luca,Esquire,16
Cars,Esquire,15
A Bug's Life,Esquire,14
Toy Story 4,Esquire,13
Toy Story 5,Esquire,12
Inside Out,Esquire,11
"Monsters, Inc.",Esquire,10
Ratatouille,Esquire,9
Toy Story 2,Esquire,8
The Incredibles,Esquire,7
Finding Nemo,Esquire,6
Up,Esquire,5
Toy Story 3,Esquire,4
Coco,Esquire,3
Toy Story,Esquire,2
WALL-E,Esquire,1
Cars 2,Mashable,28
Brave,Mashable,27
Cars 3,Mashable,26
The Good Dinosaur,Mashable,25
Monsters University,Mashable,24
Cars,Mashable,23
Lightyear,Mashable,22
Incredibles 2,Mashable,21
Toy Story 4,Mashable,20
Toy Story 2,Mashable,19
Finding Dory,Mashable,18
Onward,Mashable,17
Elemental,Mashable,16
Luca,Mashable,15
Inside Out 2,Mashable,14
Ratatouille,Mashable,13
Soul,Mashable,12
The Incredibles,Mashable,11
"Monsters, Inc.",Mashable,10
A Bug's Life,Mashable,9
Coco,Mashable,8
Turning Red,Mashable,7
WALL-E,Mashable,6
Toy Story,Mashable,5
Up,Mashable,4
Finding Nemo,Mashable,3
Inside Out,Mashable,2
Toy Story 3,Mashable,1
